x,y
1.0,0.0
0.995,-0.1
0.980025,-0.199
0.9552248750000001,-0.29600750000000003
0.920848000625,-0.39004995000000003
0.8772387656218751,-0.48018450031250004
0.8248341217625157,-0.5655074543731251
0.7641592057163906,-0.6451633292775111
0.6958220767600576,-0.7183534332027626
0.6205076230559811,-0.7843438737127545
0.5389706975694257,-0.8424729166497888
0.4520285524165997,-0.8921576218234825
0.3605526474721685,-0.932899688956025
0.2654599153392051,-0.9642904552584618
0.16770357023666288,-0.98601499451609
0.06826355293387057,-0.9978552765671758
-0.03186329248751636,-0.999692355477727
-0.1316732115728515,-0.9915075644515867
-0.2301656019601459,-0.9733827054720436
-0.32635304449754954,-0.9454992317486688
-0.41927120244992866,-0.9081364311401705
